5/1/2021 10:21:36 PM /Shop/customers/2
 5/1/2021 10:24:30 PM /Shop/customers/2
 5/7/2021 10:04:37 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 10:04:42 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:04:45 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:07:02 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:07:14 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:08:07 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 10:08:59 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/8/2021 11:39:45 AM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 11:41:19 AM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 12:18:34 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 12:18:42 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 12:19:37 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:23:09 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 12:23:23 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 12:23:25 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 12:23:31 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:24:58 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 12:25:03 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 12:26:12 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 12:26:12 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:26:36 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:49:04 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 12:49:16 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 12:49:29 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:49:41 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:49:47 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:49:56 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:50:08 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 12:51:31 PM ShopAPI.Controllers.OrdersController.AddOrder (ShopAPI)
 5/8/2021 12:51:43 PM ShopAPI.Controllers.OrdersController.AddOrder (ShopAPI)
 5/8/2021 1:02:02 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:02:21 PM ShopAPI.Controllers.OrdersController.AddOrder (ShopAPI)
 5/8/2021 1:04:17 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:04:26 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/8/2021 1:05:13 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:05:57 PM ShopAPI.Controllers.OrdersController.UpdateOrders (ShopAPI)
 5/8/2021 1:08:27 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:08:28 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:08:50 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:08:51 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:08:51 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:08:51 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:08:51 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:10:22 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:10:25 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:10:46 PM ShopAPI.Controllers.OrdersController.AddOrder (ShopAPI)
 5/8/2021 1:10:56 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:11:16 PM ShopAPI.Controllers.OrdersController.UpdateOrders (ShopAPI)
 5/8/2021 1:11:23 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:11:34 PM ShopAPI.Controllers.OrdersController.UpdateOrders (ShopAPI)
 5/8/2021 1:21:31 PM ShopAPI.Controllers.OrdersController.UpdateOrders (ShopAPI)
 5/8/2021 1:21:40 PM ShopAPI.Controllers.OrdersController.UpdateOrders (ShopAPI)
 5/8/2021 1:21:45 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:27:58 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:28:00 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:02 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:31 PM ShopAPI.Controllers.OrdersController.DeleteOrder (ShopAPI)
 5/8/2021 1:28:42 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:45 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:46 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:46 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:47 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:47 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:47 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:47 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:47 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:47 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:48 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:48 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:28:59 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:29:33 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:29:40 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:29:46 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:29:55 PM ShopAPI.Controllers.OrdersController.DeleteOrder (ShopAPI)
 5/8/2021 1:30:11 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:30:12 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:30:12 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:30:40 PM ShopAPI.Controllers.OrdersController.DeleteOrder (ShopAPI)
 5/8/2021 1:33:30 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:35:57 PM ShopAPI.Controllers.OrdersController.DeleteOrder (ShopAPI)
 5/8/2021 1:36:05 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:36:19 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:36:22 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:36:25 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:37:29 PM ShopAPI.Controllers.OrdersController.AddOrder (ShopAPI)
 5/8/2021 1:37:38 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 1:51:05 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:51:06 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 1:55:27 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:55:41 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 1:55:53 PM ShopAPI.Controllers.ProductsController.GetOrder (ShopAPI)
 5/8/2021 1:56:02 PM ShopAPI.Controllers.ProductsController.GetOrder (ShopAPI)
 5/8/2021 1:56:26 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 1:56:39 PM ShopAPI.Controllers.ProductsController.GetOrder (ShopAPI)
 5/8/2021 1:56:45 PM ShopAPI.Controllers.ProductsController.GetOrder (ShopAPI)
 5/8/2021 3:22:27 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 3:22:42 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/8/2021 3:22:49 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 3:23:51 PM ShopAPI.Controllers.ProductsController.AddProduct (ShopAPI)
 5/8/2021 3:24:05 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 3:24:22 PM ShopAPI.Controllers.ProductsController.AddProduct (ShopAPI)
 5/8/2021 3:28:41 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 3:28:54 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 3:29:06 PM ShopAPI.Controllers.ProductsController.GetOrder (ShopAPI)
 5/8/2021 3:29:22 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 3:31:45 PM ShopAPI.Controllers.ProductsController.UpdateCustomer (ShopAPI)
 5/8/2021 3:32:03 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 3:42:09 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 3:42:22 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 3:42:53 PM ShopAPI.Controllers.ProductsController.DeleteProduct (ShopAPI)
 5/8/2021 3:42:59 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 3:43:46 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/8/2021 3:43:52 PM ShopAPI.Controllers.ProductsController.GetAllProducts (ShopAPI)
 5/8/2021 3:44:01 PM ShopAPI.Controllers.ProductsController.DeleteProduct (ShopAPI)
